Model,R²,MAE_eV,RMSE_eV,Train_time_s,Train_rows
XGBoost,0.9439,0.1471,0.3027,6.6,6073
RandomForest,0.938,0.1562,0.3182,78.3,6073
MLP,0.9267,0.1839,0.3461,15.4,6073
SVR,0.921,0.1595,0.3592,13.0,6073
GPR,0.8955,0.2112,0.4131,72.9,1500
